Total stairs: 64
1 77.8 2027.8
2 194.1 2045.8
3 319.6 6227.4
4 598.5 32767.0
5 781.8 31960.5
6 799.2 30887.2
7 815.6 29720.5
8 834.0 28587.2
9 850.0 27504.6
10 860.0 26405.0
11 877.4 25207.1
12 893.0 24182.6
13 910.0 23078.5
14 926.0 21843.2
15 942.3 20788.3
16 955.5 19723.8
17 975.3 18597.9
18 988.0 17410.7
19 1003.0 16269.5
20 1017.0 15181.8
21 1030.0 14006.7
22 1054.3 12895.9
23 1067.2 11824.9
24 1084.6 10709.1
25 1099.8 9531.3
26 1116.0 8431.2
27 1131.3 7364.3
28 1147.3 6238.3
29 1164.8 5110.4
30 1179.5 3977.2
31 1195.8 2890.3
32 1210.0 1727.8
33 1228.0 598.2
34 1243.5 -483.5
35 1260.3 -1562.8
36 1276.5 -2758.0
37 1289.5 -3868.2
38 1307.6 -4962.0
39 1323.0 -6131.5
40 1340.0 -7181.7
41 1356.8 -8312.4
42 1371.5 -9408.5
43 1388.0 -10588.0
44 1402.0 -11686.3
45 1415.2 -12763.3
46 1434.8 -13916.6
47 1451.3 -15055.4
48 1465.0 -16179.4
49 1482.0 -17238.3
50 1497.8 -18430.7
51 1510.5 -19572.0
52 1528.8 -20599.9
53 1543.5 -21777.8
54 1563.2 -22891.6
55 1577.8 -24001.8
56 1593.6 -25074.1
57 1608.4 -26247.7
58 1625.8 -27331.7
59 1641.0 -28437.3
60 1659.0 -29571.1
61 1673.0 -30692.2
62 1687.8 -31838.0
63 1972.0 -32767.9
64 3216.0 2073.5
