Total stairs: 104
1 115.7 776.7
2 372.4 2107.1
3 522.0 14380.4
4 538.0 14106.1
5 554.0 13841.8
6 570.0 13567.7
7 585.5 13280.1
8 601.0 13021.2
9 617.0 12752.5
10 633.0 12463.7
11 649.0 12202.8
12 665.0 11930.1
13 680.8 11651.1
14 697.0 11369.9
15 713.0 11109.2
16 729.0 10836.1
17 745.0 10558.4
18 760.5 10279.9
19 776.0 10017.2
20 792.0 9740.3
21 808.0 9466.3
22 824.0 9202.2
23 840.0 8928.6
24 856.0 8646.1
25 872.0 8376.9
26 888.0 8118.1
27 904.0 7831.8
28 920.2 7558.0
29 935.5 7291.8
30 951.0 7027.1
31 967.0 6744.2
32 983.0 6472.1
33 999.0 6206.8
34 1015.0 5928.3
35 1031.0 5651.3
36 1047.0 5383.1
37 1063.0 5114.7
38 1079.0 4833.3
39 1094.5 4558.1
40 1110.5 4291.9
41 1126.1 4019.9
42 1141.7 3738.2
43 1158.0 3465.2
44 1174.0 3199.2
45 1190.0 2926.3
46 1206.0 2645.2
47 1222.0 2374.9
48 1238.0 2108.1
49 1254.0 1832.8
50 1270.0 1555.5
51 1285.5 1285.9
52 1301.0 1018.0
53 1317.0 735.7
54 1333.0 463.8
55 1349.0 206.5
56 1365.0 -77.0
57 1381.0 -357.4
58 1397.0 -632.1
59 1413.0 -894.0
60 1429.0 -1170.9
61 1445.0 -1447.2
62 1461.0 -1720.6
63 1477.0 -1988.1
64 1492.5 -2272.8
65 1508.0 -2539.5
66 1524.0 -2802.1
67 1540.0 -3072.8
68 1556.0 -3363.3
69 1572.0 -3631.7
70 1588.6 -3900.6
71 1604.0 -4163.7
72 1620.0 -4445.9
73 1636.0 -4726.0
74 1652.0 -4989.5
75 1667.5 -5267.2
76 1683.0 -5540.5
77 1699.0 -5805.4
78 1715.0 -6078.6
79 1731.0 -6357.9
80 1746.5 -6621.0
81 1763.0 -6885.8
82 1778.8 -7170.4
83 1795.0 -7452.4
84 1811.0 -7711.1
85 1827.0 -7981.9
86 1842.5 -8272.1
87 1858.0 -8530.6
88 1874.0 -8797.5
89 1890.4 -9074.8
90 1906.0 -9348.2
91 1922.0 -9628.8
92 1938.0 -9890.7
93 1954.0 -10172.3
94 1970.0 -10450.0
95 1986.0 -10706.4
96 2002.0 -10985.4
97 2017.0 -11263.2
98 2033.0 -11529.5
99 2049.0 -11802.8
100 2065.0 -12079.1
101 2081.0 -12360.6
102 2097.0 -12623.1
103 2395.3 -12898.7
104 3416.7 1785.6
