Total stairs: 63
1 246.9 1058.4
2 655.1 2102.0
3 989.5 32767.0
4 1172.5 31821.8
5 1187.8 30715.8
6 1203.9 29592.4
7 1220.0 28486.4
8 1236.0 27378.1
9 1252.0 26272.9
10 1267.8 25153.8
11 1284.0 24045.5
12 1300.1 22927.8
13 1316.0 21827.9
14 1332.0 20709.3
15 1347.9 19595.8
16 1363.0 18492.9
17 1378.5 17382.9
18 1395.0 16263.3
19 1411.1 15147.5
20 1427.0 14055.6
21 1443.0 12935.6
22 1458.5 11815.4
23 1475.0 10703.9
24 1491.0 9601.0
25 1506.8 8482.8
26 1523.0 7371.9
27 1538.0 6280.2
28 1554.0 5158.7
29 1570.0 4043.6
30 1586.0 2940.1
31 1602.0 1830.6
32 1617.3 692.3
33 1634.0 -407.6
34 1650.2 -1511.0
35 1666.0 -2628.3
36 1682.5 -3748.5
37 1698.0 -4848.5
38 1714.0 -5954.1
39 1730.3 -7072.1
40 1746.0 -8181.6
41 1760.5 -9288.3
42 1777.0 -10392.3
43 1793.0 -11510.3
44 1808.6 -12631.3
45 1824.2 -13734.3
46 1841.0 -14840.5
47 1857.0 -15959.6
48 1872.7 -17073.9
49 1889.6 -18190.5
50 1905.0 -19286.7
51 1921.0 -20405.1
52 1936.8 -21512.8
53 1952.0 -22621.0
54 1968.0 -23738.4
55 1983.2 -24849.8
56 2000.0 -25947.0
57 2016.0 -27061.3
58 2031.2 -28196.6
59 2048.0 -29287.6
60 2064.3 -30386.6
61 2079.9 -31512.7
62 2480.4 -32765.8
63 3499.9 1979.7
