Total stairs: 62
1 39.0 2080.5
2 216.0 6261.3
3 520.5 32767.0
4 704.7 32017.7
5 718.4 30895.3
6 734.5 29787.6
7 752.0 28633.5
8 773.0 27390.3
9 782.5 26429.5
10 800.4 25296.8
11 814.0 24181.8
12 829.8 23092.8
13 846.0 21931.8
14 862.0 20835.9
15 880.3 19681.2
16 896.5 18630.7
17 910.5 17461.2
18 926.4 16284.3
19 941.0 15276.1
20 956.5 14162.5
21 974.3 12978.6
22 989.2 11874.4
23 1006.7 10745.3
24 1023.8 9618.1
25 1039.7 8413.1
26 1055.5 7399.3
27 1070.0 6265.0
28 1087.0 5171.5
29 1102.5 4003.4
30 1118.0 2948.2
31 1134.2 1807.7
32 1146.5 696.0
33 1165.7 -445.9
34 1178.8 -1600.5
35 1201.0 -2734.4
36 1210.4 -3812.6
37 1228.5 -4882.3
38 1245.3 -6032.2
39 1261.0 -7138.5
40 1277.3 -8260.7
41 1311.0 -10569.7
42 1324.1 -11651.8
43 1339.7 -12708.3
44 1356.0 -13887.4
45 1372.5 -14994.7
46 1387.2 -16087.8
47 1403.4 -17184.7
48 1421.2 -18323.8
49 1432.7 -19469.6
50 1453.0 -20593.0
51 1468.5 -21690.8
52 1484.2 -22859.8
53 1500.5 -23943.9
54 1514.0 -25047.6
55 1530.5 -26175.6
56 1548.7 -27332.8
57 1565.0 -28460.2
58 1579.3 -29464.2
59 1593.5 -30700.3
60 1612.0 -31768.8
61 1911.0 -32767.9
62 3189.2 2055.5
