Total stairs: 102
1 113.0 768.7
2 376.7 2163.1
3 522.0 14998.4
4 538.0 14727.8
5 554.0 14430.6
6 570.0 14138.8
7 585.5 13875.5
8 601.1 13572.0
9 617.0 13285.3
10 633.4 13013.6
11 649.0 12714.6
12 665.0 12420.6
13 681.1 12150.8
14 697.0 11871.3
15 713.0 11571.4
16 728.6 11280.1
17 745.8 11014.4
18 761.1 10731.2
19 776.5 10431.5
20 792.0 10145.6
21 808.0 9866.3
22 824.0 9578.9
23 840.0 9288.0
24 856.0 9008.8
25 872.0 8726.0
26 888.4 8436.3
27 904.0 8154.4
28 919.8 7879.9
29 935.5 7588.6
30 951.0 7290.9
31 967.5 7017.1
32 983.0 6736.5
33 1000.0 6454.1
34 1015.5 6155.1
35 1031.0 5875.3
36 1047.0 5593.1
37 1063.0 5300.9
38 1079.0 5014.2
39 1095.8 4738.8
40 1109.7 4454.4
41 1126.0 4153.4
42 1142.0 3872.7
43 1157.8 3600.5
44 1172.9 3284.2
45 1189.5 3007.7
46 1206.3 2704.9
47 1222.1 2465.6
48 1239.0 2150.2
49 1252.3 1845.2
50 1270.4 1603.3
51 1286.0 1310.1
52 1301.0 1042.6
53 1327.4 580.5
54 1347.6 150.4
55 1361.8 -149.7
56 1381.0 -414.8
57 1407.3 -844.6
58 1429.0 -1266.6
59 1444.6 -1524.3
60 1459.5 -1860.4
61 1477.0 -2142.7
62 1493.2 -2421.5
63 1505.6 -2680.2
64 1524.2 -2977.6
65 1538.8 -3269.7
66 1556.9 -3564.2
67 1571.4 -3838.0
68 1587.5 -4122.1
69 1603.7 -4407.6
70 1620.5 -4688.8
71 1636.2 -4975.6
72 1652.1 -5258.8
73 1666.7 -5547.0
74 1683.4 -5825.1
75 1699.0 -6120.3
76 1715.0 -6408.3
77 1731.4 -6687.8
78 1747.0 -6975.3
79 1763.2 -7251.8
80 1778.1 -7538.7
81 1795.3 -7826.2
82 1811.0 -8105.3
83 1826.5 -8396.9
84 1842.3 -8680.8
85 1858.0 -8958.7
86 1873.0 -9239.5
87 1890.3 -9521.0
88 1906.0 -9820.5
89 1922.0 -10100.3
90 1938.5 -10396.1
91 1954.2 -10684.7
92 1971.0 -10957.1
93 1986.0 -11250.0
94 2002.0 -11545.1
95 2017.5 -11811.9
96 2032.4 -12089.3
97 2048.6 -12398.4
98 2065.0 -12681.5
99 2080.9 -12961.2
100 2096.7 -13238.7
101 2393.6 -13533.3
102 3413.4 1824.9
