Total stairs: 104
1 114.5 746.0
2 372.6 2099.7
3 522.0 14605.2
4 538.5 14316.5
5 554.0 14047.2
6 570.0 13776.7
7 585.5 13483.4
8 601.0 13209.8
9 617.0 12943.7
10 633.0 12648.8
11 649.0 12372.7
12 665.0 12109.0
13 681.0 11825.7
14 697.0 11532.1
15 712.7 11268.2
16 729.0 10994.9
17 745.8 10703.9
18 760.9 10415.5
19 776.5 10155.0
20 792.0 9883.0
21 808.0 9597.4
22 824.0 9317.5
23 840.0 9047.8
24 856.0 8770.0
25 872.5 8492.1
26 888.0 8209.8
27 903.8 7935.5
28 919.9 7653.7
29 935.5 7375.8
30 951.0 7112.5
31 967.5 6828.6
32 983.0 6539.8
33 999.3 6263.2
34 1015.0 6001.3
35 1031.0 5719.0
36 1046.8 5433.1
37 1063.0 5163.7
38 1079.0 4885.2
39 1095.0 4596.4
40 1109.7 4319.9
41 1126.0 4051.0
42 1142.0 3773.2
43 1158.0 3489.2
44 1174.0 3212.6
45 1190.0 2941.3
46 1206.1 2648.8
47 1221.7 2373.0
48 1237.9 2103.0
49 1254.0 1828.7
50 1270.0 1540.3
51 1285.5 1257.6
52 1301.3 982.5
53 1317.0 714.9
54 1332.4 424.6
55 1349.0 155.7
56 1365.0 -115.8
57 1381.0 -397.6
58 1397.0 -689.4
59 1413.5 -972.5
60 1429.0 -1236.6
61 1445.0 -1516.7
62 1460.6 -1800.8
63 1476.8 -2067.2
64 1492.5 -2347.8
65 1508.0 -2634.1
66 1524.4 -2910.9
67 1540.0 -3170.8
68 1556.2 -3459.9
69 1572.0 -3746.1
70 1588.0 -4027.2
71 1604.0 -4291.3
72 1620.5 -4569.6
73 1636.0 -4854.7
74 1651.8 -5134.5
75 1666.7 -5405.7
76 1683.0 -5694.5
77 1698.8 -5956.6
78 1715.0 -6232.4
79 1730.8 -6514.2
80 1747.0 -6790.9
81 1763.2 -7068.8
82 1778.9 -7336.9
83 1795.0 -7631.2
84 1811.0 -7904.0
85 1826.9 -8175.4
86 1842.4 -8453.8
87 1858.0 -8738.4
88 1873.2 -9016.1
89 1890.3 -9308.7
90 1906.0 -9563.8
91 1922.0 -9850.5
92 1938.4 -10126.1
93 1954.0 -10392.4
94 1970.8 -10691.3
95 1985.9 -10955.5
96 2002.0 -11230.6
97 2016.7 -11517.0
98 2032.4 -11808.2
99 2049.0 -12067.4
100 2065.0 -12342.1
101 2081.0 -12623.6
102 2097.5 -12912.1
103 2394.9 -13181.6
104 3410.1 1773.2
