Total stairs: 62
1 240.5 1093.6
2 652.7 2169.7
3 995.1 32764.6
4 1188.0 31537.5
5 1204.5 30410.0
6 1220.1 29269.1
7 1236.0 28122.3
8 1252.0 26975.6
9 1267.5 25852.2
10 1284.0 24709.3
11 1300.1 23561.1
12 1316.0 22410.6
13 1332.0 21274.9
14 1347.9 20137.8
15 1363.0 18986.1
16 1379.0 17850.1
17 1395.0 16713.3
18 1410.5 15593.8
19 1427.0 14420.5
20 1443.0 13286.9
21 1459.0 12151.1
22 1474.6 11001.4
23 1491.2 9857.5
24 1507.0 8724.8
25 1523.0 7586.3
26 1538.5 6439.7
27 1554.5 5302.5
28 1570.0 4167.5
29 1585.8 3018.8
30 1601.2 1878.0
31 1618.0 725.5
32 1633.9 -410.4
33 1648.0 -1599.0
34 1665.7 -2708.9
35 1682.0 -3821.4
36 1697.8 -4979.6
37 1714.0 -6127.4
38 1730.3 -7254.2
39 1745.2 -8394.0
40 1761.3 -9538.2
41 1777.0 -10687.1
42 1793.0 -11816.3
43 1809.0 -12960.7
44 1824.2 -14106.7
45 1841.3 -15253.2
46 1857.0 -16378.3
47 1873.1 -17511.8
48 1889.0 -18652.6
49 1905.1 -19803.4
50 1921.0 -20942.8
51 1936.8 -22090.5
52 1952.7 -23237.8
53 1968.1 -24366.6
54 1983.5 -25506.8
55 2000.0 -26659.9
56 2016.2 -27798.4
57 2031.2 -28913.1
58 2048.0 -30079.1
59 2064.3 -31226.8
60 2080.0 -32350.8
61 2478.5 -32768.0
62 3474.6 2034.6
