Total stairs: 65
1 247.4 1084.6
2 656.1 2108.9
3 981.5 32767.0
4 1156.8 32379.2
5 1172.5 31292.2
6 1188.0 30201.5
7 1204.0 29102.6
8 1220.0 28013.9
9 1236.0 26931.1
10 1252.0 25838.6
11 1268.0 24740.0
12 1284.0 23658.7
13 1300.0 22568.2
14 1316.0 21467.7
15 1332.0 20369.6
16 1347.5 19294.3
17 1363.0 18203.1
18 1379.0 17105.2
19 1395.0 16016.2
20 1411.0 14936.6
21 1427.0 13840.9
22 1443.0 12742.5
23 1459.0 11651.5
24 1475.0 10563.0
25 1491.0 9470.5
26 1507.0 8374.3
27 1523.0 7290.7
28 1538.5 6212.9
29 1554.0 5105.1
30 1570.0 4019.8
31 1586.0 2936.3
32 1602.0 1831.8
33 1617.6 730.7
34 1634.0 -351.8
35 1650.0 -1438.7
36 1666.0 -2539.0
37 1682.0 -3631.1
38 1698.0 -4712.8
39 1714.0 -5803.1
40 1730.0 -6906.6
41 1746.0 -7987.0
42 1760.9 -9075.0
43 1777.0 -10164.5
44 1793.0 -11261.1
45 1809.0 -12348.4
46 1825.0 -13439.6
47 1841.0 -14537.3
48 1857.0 -15627.2
49 1873.0 -16705.4
50 1889.3 -17794.8
51 1905.0 -18901.2
52 1921.0 -19991.3
53 1936.5 -21068.8
54 1952.0 -22168.0
55 1968.3 -23262.5
56 1984.0 -24349.2
57 2000.0 -25429.4
58 2016.0 -26530.4
59 2032.0 -27621.0
60 2048.0 -28705.1
61 2064.0 -29794.8
62 2080.0 -30899.7
63 2096.0 -31980.5
64 2486.5 -32768.0
65 3506.7 1988.5
