Total stairs: 64
1 93.3 871.9
2 351.1 874.9
3 834.8 6317.0
4 1342.0 32767.0
5 1524.3 32049.1
6 1539.5 30940.3
7 1556.9 29792.5
8 1573.5 28721.0
9 1588.8 27577.2
10 1604.5 26434.2
11 1620.0 25331.4
12 1637.2 24278.1
13 1653.0 23048.0
14 1665.8 21963.9
15 1685.0 20929.3
16 1702.5 19799.5
17 1713.7 18546.2
18 1732.2 17499.4
19 1747.7 16422.5
20 1762.7 15257.6
21 1781.0 14107.2
22 1796.0 13031.5
23 1814.3 11922.4
24 1827.4 10830.8
25 1844.3 9661.1
26 1859.0 8535.3
27 1874.4 7473.7
28 1893.7 6326.2
29 1908.6 5216.5
30 1924.0 4103.4
31 1936.3 2985.3
32 1952.6 1830.4
33 1971.0 722.4
34 1982.0 -309.3
35 2003.5 -1487.2
36 2020.0 -2661.3
37 2035.4 -3773.0
38 2052.7 -4868.5
39 2066.9 -5984.8
40 2082.0 -7136.5
41 2097.5 -8213.3
42 2112.7 -9282.8
43 2131.0 -10472.8
44 2145.0 -11594.6
45 2164.5 -12695.3
46 2176.4 -13779.3
47 2193.0 -14954.9
48 2210.5 -16073.0
49 2226.1 -17165.1
50 2240.5 -18320.7
51 2259.2 -19461.1
52 2272.6 -20537.3
53 2289.3 -21607.0
54 2304.5 -22791.1
55 2321.8 -23948.9
56 2335.5 -25037.3
57 2353.8 -26105.2
58 2368.9 -27275.6
59 2384.2 -28380.5
60 2402.7 -29473.6
61 2415.8 -30564.2
62 2433.5 -31749.1
63 3021.0 -32767.9
64 3872.4 1935.0
